id,lang,split,tweet,soft_label,hard_label
100001,es,TRAIN_ES,"@USER Ignore the other, he's an asshole. The problem with this youtuber denounces harassment... when it doesn't affect people on the left. For example, in his video about gamergate, he presents as ""normal"" the harassment that Fisher, Anita or Zöey receive when there were even bomb threats.","{'REPORTED': 0.5, 'JUDGEMENTAL': 0.33333333333333304, 'NO': 0.16666666666666602, 'DIRECT': 0.0}",REPORTED
100002,es,TRAIN_ES,"@USER If comicsgate is anything like gamergate, then great for the harassment. And if sabotage is taking place because there are characters you don't like, then thanks for agreeing with me. You are offended whiners.","{'NO': 0.833333333333333, 'DIRECT': 0.16666666666666602, 'REPORTED': 0.0, 'JUDGEMENTAL': 0.0}",NO
100003,es,TRAIN_ES,"@USER Read about Gamergate, and how it has changed the way we communicate on the internet. Halo fanboys are toxic but fanboys from other communities/games have also wanted to take a lead with that 🤷🏾‍♂️","{'NO': 1.0, 'DIRECT': 0.0, 'REPORTED': 0.0, 'JUDGEMENTAL': 0.0}",NO
100004,es,TRAIN_ES,"@USER A rather unfortunate social delay, gamergate, trump, and here in Spain well what we have...","{'NO': 0.5, 'DIRECT': 0.16666666666666602, 'REPORTED': 0.33333333333333304, 'JUDGEMENTAL': 0.0}",
100005,es,TRAIN_ES,"@USER @USER @USER So, since the market is like that, it's best not to do something to change it and continue feeding machismo in consumers instead of supporting people like the victims of gamergate. Regarding the other, the ""had"" implies an imperative, so it doesn't I understand what they were looking for.","{'REPORTED': 0.16666666666666602, 'NO': 0.33333333333333304, 'JUDGEMENTAL': 0.33333333333333304, 'DIRECT': 0.16666666666666602}",
100006,es,TRAIN_ES,"@USER Aaah yes. Andrew Dobson. The one who dedicated himself to throwing shit out of gamergate in the purest white knight style, and all of deviantart fell on him","{'NO': 1.0, 'DIRECT': 0.0, 'REPORTED': 0.0, 'JUDGEMENTAL': 0.0}",NO
100007,es,TRAIN_ES,"@USER @USER I was on the Gamergate side if I remember correctly. Fits the profile of THQ Nordic, lol","{'NO': 0.6000000000000001, 'DIRECT': 0.4, 'REPORTED': 0.0, 'JUDGEMENTAL': 0.0}",
100008,es,TRAIN_ES,"@USER This gringa keeps crying over gamergate, what a ""coincidence"" that she has pronouns in her profile","{'DIRECT': 0.833333333333333, 'JUDGEMENTAL': 0.16666666666666602, 'NO': 0.0, 'REPORTED': 0.0}",DIRECT
100009,es,TRAIN_ES,.Do you know the #DECORATION #GAMER style for #teenagers? We explain it to you in our #post: ❤️ HTTPURLAre you following us?#inspiracionalcuadrado #interiorismo #homedecorideas #Madrid #chamberi #Salamanca #gamers #GAMERGATE #gamergirl HTTPURL,"{'NO': 1.0, 'DIRECT': 0.0, 'REPORTED': 0.0, 'JUDGEMENTAL': 0.0}",NO
100010,es,TRAIN_ES,CES 2022 ASUS ROG RISE OF GAMERS LANGE EVENT ___HTTPURL___ #AMD2022 #AMD #AMDREDTEAM #AMDRYZEN #INTEL #NVIDIA #NVIDIAOMNIVERSE #NVIDIAGEFORCE #NVIDIASTUDIUM #GAMERGIRL #GAMERS #GAMERGATE #GAMERSUNITE #GAMER. #Stockstobuy #stock,"{'NO': 0.833333333333333, 'DIRECT': 0.16666666666666602, 'REPORTED': 0.0, 'JUDGEMENTAL': 0.0}",NO
100011,es,TRAIN_ES,"@USER @USER Shit, I feel old when you say Gamergate, what a bard .__.XD","{'NO': 1.0, 'DIRECT': 0.0, 'REPORTED': 0.0, 'JUDGEMENTAL': 0.0}",NO
100012,es,TRAIN_ES,"@USER @USER Bannon also has a story. Here they talk about him, good podcast, #16 - the winners of Gamergate HTTPURL","{'NO': 1.0, 'DIRECT': 0.0, 'REPORTED': 0.0, 'JUDGEMENTAL': 0.0}",NO
100013,es,TRAIN_ES,"I missed the #Gamergate psycho charade (well, not so much, thanks to @USER 😊), but I won't miss this one. ___htpurl___","{'NO': 1.0, 'DIRECT': 0.0, 'REPORTED': 0.0, 'JUDGEMENTAL': 0.0}",NO
100014,es,TRAIN_ES,"«Until then the left, much more politicized, due to its absolutizing character, and better organized, had a monopoly of control over the networks»🖊️ Alejandro Cuevas___hpurl___","{'NO': 0.833333333333333, 'DIRECT': 0.16666666666666602, 'REPORTED': 0.0, 'JUDGEMENTAL': 0.0}",NO
100015,es,TRAIN_ES,"And why do I say they are dogwhistles? Because we've already experienced this over and over and over again in comics... It happened with #ComicsGate in 2017, a bastard son of #GamerGate, the dark origin of all these tantrum rat children. And well, chole, right?___htpurl___","{'NO': 0.833333333333333, 'REPORTED': 0.16666666666666602, 'DIRECT': 0.0, 'JUDGEMENTAL': 0.0}",NO
100016,es,TRAIN_ES,"@USER when it's your turn to experience something similar to GamerGate, we'll see if you maintain the same position as today, juas juas juas ___htpurl___","{'NO': 0.6666666666666661, 'REPORTED': 0.16666666666666602, 'DIRECT': 0.16666666666666602, 'JUDGEMENTAL': 0.0}",NO
100017,es,TRAIN_ES,The one who rose without fear of success was Rust's #1 rat... @USER://t.co/EzXndDepQE#Rust #gamergirls #GAMERGATE ___hpurl___,"{'NO': 0.833333333333333, 'DIRECT': 0.16666666666666602, 'REPORTED': 0.0, 'JUDGEMENTAL': 0.0}",NO
100018,es,TRAIN_ES,"@USER gamergate caused this, gamergate caused this, gamergate killed this person, gamergate gamergate gamergate. Fucking shitty reporters","{'NO': 0.833333333333333, 'DIRECT': 0.16666666666666602, 'REPORTED': 0.0, 'JUDGEMENTAL': 0.0}",NO
100019,es,TRAIN_ES,@USER in 2014 gamergate started so maybe it's better not,"{'NO': 1.0, 'DIRECT': 0.0, 'REPORTED': 0.0, 'JUDGEMENTAL': 0.0}",NO
100020,es,TRAIN_ES,The best 100 #video games in #History 😀😀😀😀 #gamers #GamerGate ___hpurl___,"{'NO': 1.0, 'DIRECT': 0.0, 'REPORTED': 0.0, 'JUDGEMENTAL': 0.0}",NO
100021,es,TRAIN_ES,The gays after listening to babylon house labs when they HARASSED GAGA to take it out ___htpurl___,"{'NO': 0.6666666666666661, 'DIRECT': 0.33333333333333304, 'REPORTED': 0.0, 'JUDGEMENTAL': 0.0}",NO
100022,es,TRAIN_ES,@USER @USER Do you mean something like that?HTTPURL,"{'NO': 1.0, 'DIRECT': 0.0, 'REPORTED': 0.0, 'JUDGEMENTAL': 0.0}",NO
100023,es,TRAIN_ES,"@USER lol I got into trouble with that cosplay community because someone saw my story without context defending a corduroy who has been harassed and me saying that the bully copied her cosplays and she went to fb to ridicule me because ""cosplays don't can be copied""","{'NO': 0.6666666666666661, 'REPORTED': 0.16666666666666602, 'DIRECT': 0.16666666666666602, 'JUDGEMENTAL': 0.0}",NO
100024,es,TRAIN_ES,"There are female white-necked hummingbirds (Florisuga mellivora) that adopt a coloration similar to the plumage of the males to avoid the more aggressive males. In this way, they escape their seduction attempts and have more time to feed.___htpurl___","{'NO': 1.0, 'DIRECT': 0.0, 'REPORTED': 0.0, 'JUDGEMENTAL': 0.0}",NO
100025,es,TRAIN_ES,"@USER women should not live in fear, the army of Bangladesh has my full support WE STAND WITH BANGLADESH ARMYS AND ALL YOUNG WOMEN BEING HARASSED EVERYDAY. #EndViolence","{'JUDGEMENTAL': 0.5, 'NO': 0.5, 'DIRECT': 0.0, 'REPORTED': 0.0}",
100026,es,TRAIN_ES,"It's already 00:00 in arabia, please spread the word so that all the girls are found, the later it can be more dangerous. if you are missing or you are being harassed enter this space#الكونسرت_الحزين___htpurl___","{'NO': 0.5, 'REPORTED': 0.33333333333333304, 'JUDGEMENTAL': 0.16666666666666602, 'DIRECT': 0.0}",
100027,es,TRAIN_ES,"Y'all really harassed this person for something so harmless lmao, they really have no empathy ___htpurl___","{'NO': 0.833333333333333, 'DIRECT': 0.16666666666666602, 'REPORTED': 0.0, 'JUDGEMENTAL': 0.0}",NO
100028,es,TRAIN_ES,"@USER @USER Quiet, sexist ^%$#.HTTPURL","{'JUDGEMENTAL': 0.16666666666666602, 'NO': 0.33333333333333304, 'DIRECT': 0.5, 'REPORTED': 0.0}",DIRECT
100029,es,TRAIN_ES,Sources: 👇🏻👨🏽‍💻___htpurl___ ___htpurl___ End of the Thread! Learn more about your right to believe in: ___htpurl___,"{'NO': 1.0, 'DIRECT': 0.0, 'REPORTED': 0.0, 'JUDGEMENTAL': 0.0}",NO
100030,es,TRAIN_ES,"@USER Is a great example of this, they don't care if I have being supplanted, harassed or else, even with evidence the problem was me. Of course in Spanish Quora. There's 1 guy with hundreds of offending accounts and he's still there. And the account cloner... HTTPURL HTTPURL","{'REPORTED': 0.5, 'NO': 0.5, 'DIRECT': 0.0, 'JUDGEMENTAL': 0.0}",
